Disorder,Dict,DataFrame,Accuracy,AUC,Classification Report
Addictive disorder,df_dict_psd_all_bands,psd_all_bands,0.8666666666666667,0.9452347083926032,"{'0': {'precision': 0.85, 'recall': 0.8947368421052632, 'f1-score': 0.8717948717948718, 'support': 38}, '1': {'precision': 0.8857142857142857, 'recall': 0.8378378378378378, 'f1-score': 0.8611111111111112, 'support': 37}, 'accuracy': 0.8666666666666667, 'macro avg': {'precision': 0.8678571428571429, 'recall': 0.8662873399715505, 'f1-score': 0.8664529914529915, 'support': 75}, 'weighted avg': {'precision': 0.8676190476190476, 'recall': 0.8666666666666667, 'f1-score': 0.8665242165242167, 'support': 75}}"
Addictive disorder,df_dict_fc_all_bands,fc_all_bands,0.8533333333333334,0.8947368421052633,"{'0': {'precision': 0.8857142857142857, 'recall': 0.8157894736842105, 'f1-score': 0.8493150684931505, 'support': 38}, '1': {'precision': 0.825, 'recall': 0.8918918918918919, 'f1-score': 0.8571428571428571, 'support': 37}, 'accuracy': 0.8533333333333334, 'macro avg': {'precision': 0.8553571428571428, 'recall': 0.8538406827880511, 'f1-score': 0.8532289628180039, 'support': 75}, 'weighted avg': {'precision': 0.8557619047619046, 'recall': 0.8533333333333334, 'f1-score': 0.853176777560339, 'support': 75}}"
Addictive disorder,df_dict_psd_fc_all_bands,psd_fc_all_bands,0.84,0.9238975817923187,"{'0': {'precision': 0.8421052631578947, 'recall': 0.8421052631578947, 'f1-score': 0.8421052631578947, 'support': 38}, '1': {'precision': 0.8378378378378378, 'recall': 0.8378378378378378, 'f1-score': 0.8378378378378378, 'support': 37}, 'accuracy': 0.84, 'macro avg': {'precision': 0.8399715504978662, 'recall': 0.8399715504978662, 'f1-score': 0.8399715504978662, 'support': 75}, 'weighted avg': {'precision': 0.84, 'recall': 0.84, 'f1-score': 0.84, 'support': 75}}"
Addictive disorder,df_dict_psd_band,psd_delta,0.9333333333333333,0.9736842105263158,"{'0': {'precision': 0.9024390243902439, 'recall': 0.9736842105263158, 'f1-score': 0.9367088607594938, 'support': 38}, '1': {'precision': 0.9705882352941176, 'recall': 0.8918918918918919, 'f1-score': 0.9295774647887325, 'support': 37}, 'accuracy': 0.9333333333333333, 'macro avg': {'precision': 0.9365136298421808, 'recall': 0.9327880512091038, 'f1-score': 0.9331431627741131, 'support': 75}, 'weighted avg': {'precision': 0.9360593017694885, 'recall': 0.9333333333333333, 'f1-score': 0.9331907054139181, 'support': 75}}"
Addictive disorder,df_dict_psd_band,psd_theta,0.8933333333333333,0.9786628733997156,"{'0': {'precision': 0.8571428571428571, 'recall': 0.9473684210526315, 'f1-score': 0.9, 'support': 38}, '1': {'precision': 0.9393939393939394, 'recall': 0.8378378378378378, 'f1-score': 0.8857142857142858, 'support': 37}, 'accuracy': 0.8933333333333333, 'macro avg': {'precision': 0.8982683982683983, 'recall': 0.8926031294452347, 'f1-score': 0.8928571428571429, 'support': 75}, 'weighted avg': {'precision': 0.8977200577200578, 'recall': 0.8933333333333333, 'f1-score': 0.892952380952381, 'support': 75}}"
Addictive disorder,df_dict_psd_band,psd_alpha,0.88,0.9246088193456614,"{'0': {'precision': 0.8372093023255814, 'recall': 0.9473684210526315, 'f1-score': 0.8888888888888888, 'support': 38}, '1': {'precision': 0.9375, 'recall': 0.8108108108108109, 'f1-score': 0.8695652173913043, 'support': 37}, 'accuracy': 0.88, 'macro avg': {'precision': 0.8873546511627908, 'recall': 0.8790896159317212, 'f1-score': 0.8792270531400965, 'support': 75}, 'weighted avg': {'precision': 0.8866860465116279, 'recall': 0.88, 'f1-score': 0.8793558776167472, 'support': 75}}"
Addictive disorder,df_dict_psd_band,psd_beta,0.88,0.9615931721194879,"{'0': {'precision': 0.8536585365853658, 'recall': 0.9210526315789473, 'f1-score': 0.8860759493670887, 'support': 38}, '1': {'precision': 0.9117647058823529, 'recall': 0.8378378378378378, 'f1-score': 0.8732394366197184, 'support': 37}, 'accuracy': 0.88, 'macro avg': {'precision': 0.8827116212338594, 'recall': 0.8794452347083925, 'f1-score': 0.8796576929934035, 'support': 75}, 'weighted avg': {'precision': 0.8823242467718795, 'recall': 0.88, 'f1-score': 0.8797432697450525, 'support': 75}}"
Addictive disorder,df_dict_psd_band,psd_highbeta,0.88,0.9530583214793741,"{'0': {'precision': 0.9142857142857143, 'recall': 0.8421052631578947, 'f1-score': 0.8767123287671234, 'support': 38}, '1': {'precision': 0.85, 'recall': 0.918918918918919, 'f1-score': 0.8831168831168831, 'support': 37}, 'accuracy': 0.88, 'macro avg': {'precision': 0.8821428571428571, 'recall': 0.8805120910384068, 'f1-score': 0.8799146059420032, 'support': 75}, 'weighted avg': {'precision': 0.8825714285714285, 'recall': 0.88, 'f1-score': 0.8798719089130048, 'support': 75}}"
Addictive disorder,df_dict_psd_band,psd_gamma,0.88,0.9487908961593172,"{'0': {'precision': 0.8372093023255814, 'recall': 0.9473684210526315, 'f1-score': 0.8888888888888888, 'support': 38}, '1': {'precision': 0.9375, 'recall': 0.8108108108108109, 'f1-score': 0.8695652173913043, 'support': 37}, 'accuracy': 0.88, 'macro avg': {'precision': 0.8873546511627908, 'recall': 0.8790896159317212, 'f1-score': 0.8792270531400965, 'support': 75}, 'weighted avg': {'precision': 0.8866860465116279, 'recall': 0.88, 'f1-score': 0.8793558776167472, 'support': 75}}"
Addictive disorder,df_dict_fc_band,fc_delta,0.7866666666666666,0.8926031294452347,"{'0': {'precision': 0.775, 'recall': 0.8157894736842105, 'f1-score': 0.7948717948717949, 'support': 38}, '1': {'precision': 0.8, 'recall': 0.7567567567567568, 'f1-score': 0.7777777777777778, 'support': 37}, 'accuracy': 0.7866666666666666, 'macro avg': {'precision': 0.7875000000000001, 'recall': 0.7862731152204836, 'f1-score': 0.7863247863247864, 'support': 75}, 'weighted avg': {'precision': 0.7873333333333333, 'recall': 0.7866666666666666, 'f1-score': 0.7864387464387466, 'support': 75}}"
Addictive disorder,df_dict_fc_band,fc_theta,0.8666666666666667,0.9416785206258891,"{'0': {'precision': 0.8888888888888888, 'recall': 0.8421052631578947, 'f1-score': 0.8648648648648649, 'support': 38}, '1': {'precision': 0.8461538461538461, 'recall': 0.8918918918918919, 'f1-score': 0.868421052631579, 'support': 37}, 'accuracy': 0.8666666666666667, 'macro avg': {'precision': 0.8675213675213675, 'recall': 0.8669985775248933, 'f1-score': 0.866642958748222, 'support': 75}, 'weighted avg': {'precision': 0.8678062678062679, 'recall': 0.8666666666666667, 'f1-score': 0.8666192508297773, 'support': 75}}"
Addictive disorder,df_dict_fc_band,fc_alpha,0.84,0.9231863442389758,"{'0': {'precision': 0.8421052631578947, 'recall': 0.8421052631578947, 'f1-score': 0.8421052631578947, 'support': 38}, '1': {'precision': 0.8378378378378378, 'recall': 0.8378378378378378, 'f1-score': 0.8378378378378378, 'support': 37}, 'accuracy': 0.84, 'macro avg': {'precision': 0.8399715504978662, 'recall': 0.8399715504978662, 'f1-score': 0.8399715504978662, 'support': 75}, 'weighted avg': {'precision': 0.84, 'recall': 0.84, 'f1-score': 0.84, 'support': 75}}"
Addictive disorder,df_dict_fc_band,fc_beta,0.8,0.9224751066856329,"{'0': {'precision': 0.7804878048780488, 'recall': 0.8421052631578947, 'f1-score': 0.810126582278481, 'support': 38}, '1': {'precision': 0.8235294117647058, 'recall': 0.7567567567567568, 'f1-score': 0.7887323943661971, 'support': 37}, 'accuracy': 0.8, 'macro avg': {'precision': 0.8020086083213773, 'recall': 0.7994310099573257, 'f1-score': 0.7994294883223391, 'support': 75}, 'weighted avg': {'precision': 0.8017216642754662, 'recall': 0.8, 'f1-score': 0.7995721162417543, 'support': 75}}"
Addictive disorder,df_dict_fc_band,fc_highbeta,0.84,0.9366998577524893,"{'0': {'precision': 0.825, 'recall': 0.868421052631579, 'f1-score': 0.8461538461538461, 'support': 38}, '1': {'precision': 0.8571428571428571, 'recall': 0.8108108108108109, 'f1-score': 0.8333333333333334, 'support': 37}, 'accuracy': 0.84, 'macro avg': {'precision': 0.8410714285714285, 'recall': 0.8396159317211949, 'f1-score': 0.8397435897435898, 'support': 75}, 'weighted avg': {'precision': 0.8408571428571427, 'recall': 0.84, 'f1-score': 0.8398290598290599, 'support': 75}}"
Addictive disorder,df_dict_fc_band,fc_gamma,0.9066666666666666,0.9601706970128023,"{'0': {'precision': 0.8780487804878049, 'recall': 0.9473684210526315, 'f1-score': 0.9113924050632912, 'support': 38}, '1': {'precision': 0.9411764705882353, 'recall': 0.8648648648648649, 'f1-score': 0.9014084507042254, 'support': 37}, 'accuracy': 0.9066666666666666, 'macro avg': {'precision': 0.9096126255380201, 'recall': 0.9061166429587482, 'f1-score': 0.9064004278837583, 'support': 75}, 'weighted avg': {'precision': 0.9091917742706839, 'recall': 0.9066666666666666, 'f1-score': 0.9064669875794853, 'support': 75}}"
