Disorder,Dict,DataFrame,Accuracy,AUC,Classification Report
Addictive disorder,df_dict_psd_all_bands,psd_all_bands,0.7333333333333333,0.7375533428165008,"              precision    recall  f1-score   support

           0       0.69      0.87      0.77        38
           1       0.81      0.59      0.69        37

    accuracy                           0.73        75
   macro avg       0.75      0.73      0.73        75
weighted avg       0.75      0.73      0.73        75
"
Addictive disorder,df_dict_fc_all_bands,fc_all_bands,0.8666666666666667,0.9160739687055477,"              precision    recall  f1-score   support

           0       0.89      0.84      0.86        38
           1       0.85      0.89      0.87        37

    accuracy                           0.87        75
   macro avg       0.87      0.87      0.87        75
weighted avg       0.87      0.87      0.87        75
"
Addictive disorder,df_dict_psd_fc_all_bands,psd_fc_all_bands,0.9066666666666666,0.9125177809388336,"              precision    recall  f1-score   support

           0       0.94      0.87      0.90        38
           1       0.88      0.95      0.91        37

    accuracy                           0.91        75
   macro avg       0.91      0.91      0.91        75
weighted avg       0.91      0.91      0.91        75
"
Addictive disorder,df_dict_psd_band,psd_delta,0.92,0.9096728307254623,"              precision    recall  f1-score   support

           0       0.86      1.00      0.93        38
           1       1.00      0.84      0.91        37

    accuracy                           0.92        75
   macro avg       0.93      0.92      0.92        75
weighted avg       0.93      0.92      0.92        75
"
Addictive disorder,df_dict_psd_band,psd_theta,0.9466666666666667,0.9630156472261735,"              precision    recall  f1-score   support

           0       0.90      1.00      0.95        38
           1       1.00      0.89      0.94        37

    accuracy                           0.95        75
   macro avg       0.95      0.95      0.95        75
weighted avg       0.95      0.95      0.95        75
"
Addictive disorder,df_dict_psd_band,psd_alpha,0.8933333333333333,0.9082503556187768,"              precision    recall  f1-score   support

           0       0.83      1.00      0.90        38
           1       1.00      0.78      0.88        37

    accuracy                           0.89        75
   macro avg       0.91      0.89      0.89        75
weighted avg       0.91      0.89      0.89        75
"
Addictive disorder,df_dict_psd_band,psd_beta,0.8666666666666667,0.9231863442389758,"              precision    recall  f1-score   support

           0       0.89      0.84      0.86        38
           1       0.85      0.89      0.87        37

    accuracy                           0.87        75
   macro avg       0.87      0.87      0.87        75
weighted avg       0.87      0.87      0.87        75
"
Addictive disorder,df_dict_psd_band,psd_highbeta,0.8933333333333333,0.9601706970128023,"              precision    recall  f1-score   support

           0       0.84      0.97      0.90        38
           1       0.97      0.81      0.88        37

    accuracy                           0.89        75
   macro avg       0.90      0.89      0.89        75
weighted avg       0.90      0.89      0.89        75
"
Addictive disorder,df_dict_psd_band,psd_gamma,0.8933333333333333,0.938122332859175,"              precision    recall  f1-score   support

           0       0.89      0.89      0.89        38
           1       0.89      0.89      0.89        37

    accuracy                           0.89        75
   macro avg       0.89      0.89      0.89        75
weighted avg       0.89      0.89      0.89        75
"
Addictive disorder,df_dict_fc_band,fc_delta,0.84,0.9089615931721194,"              precision    recall  f1-score   support

           0       0.88      0.79      0.83        38
           1       0.80      0.89      0.85        37

    accuracy                           0.84        75
   macro avg       0.84      0.84      0.84        75
weighted avg       0.84      0.84      0.84        75
"
Addictive disorder,df_dict_fc_band,fc_theta,0.8933333333333333,0.9011379800853485,"              precision    recall  f1-score   support

           0       0.92      0.87      0.89        38
           1       0.87      0.92      0.89        37

    accuracy                           0.89        75
   macro avg       0.89      0.89      0.89        75
weighted avg       0.89      0.89      0.89        75
"
Addictive disorder,df_dict_fc_band,fc_alpha,0.7866666666666666,0.8115220483641536,"              precision    recall  f1-score   support

           0       0.76      0.84      0.80        38
           1       0.82      0.73      0.77        37

    accuracy                           0.79        75
   macro avg       0.79      0.79      0.79        75
weighted avg       0.79      0.79      0.79        75
"
Addictive disorder,df_dict_fc_band,fc_beta,0.8666666666666667,0.9210526315789473,"              precision    recall  f1-score   support

           0       0.87      0.87      0.87        38
           1       0.86      0.86      0.86        37

    accuracy                           0.87        75
   macro avg       0.87      0.87      0.87        75
weighted avg       0.87      0.87      0.87        75
"
Addictive disorder,df_dict_fc_band,fc_highbeta,0.8933333333333333,0.914651493598862,"              precision    recall  f1-score   support

           0       0.92      0.87      0.89        38
           1       0.87      0.92      0.89        37

    accuracy                           0.89        75
   macro avg       0.89      0.89      0.89        75
weighted avg       0.89      0.89      0.89        75
"
Addictive disorder,df_dict_fc_band,fc_gamma,0.8933333333333333,0.9402560455192034,"              precision    recall  f1-score   support

           0       0.88      0.92      0.90        38
           1       0.91      0.86      0.89        37

    accuracy                           0.89        75
   macro avg       0.89      0.89      0.89        75
weighted avg       0.89      0.89      0.89        75
"
Addictive disorder,df_dict_psd_fc_band,psd_fc_delta,0.8666666666666667,0.8904694167852063,"              precision    recall  f1-score   support

           0       0.85      0.89      0.87        38
           1       0.89      0.84      0.86        37

    accuracy                           0.87        75
   macro avg       0.87      0.87      0.87        75
weighted avg       0.87      0.87      0.87        75
"
Addictive disorder,df_dict_psd_fc_band,psd_fc_theta,0.88,0.9089615931721196,"              precision    recall  f1-score   support

           0       0.85      0.92      0.89        38
           1       0.91      0.84      0.87        37

    accuracy                           0.88        75
   macro avg       0.88      0.88      0.88        75
weighted avg       0.88      0.88      0.88        75
"
Addictive disorder,df_dict_psd_fc_band,psd_fc_alpha,0.8133333333333334,0.8584637268847795,"              precision    recall  f1-score   support

           0       0.77      0.89      0.83        38
           1       0.87      0.73      0.79        37

    accuracy                           0.81        75
   macro avg       0.82      0.81      0.81        75
weighted avg       0.82      0.81      0.81        75
"
Addictive disorder,df_dict_psd_fc_band,psd_fc_beta,0.8666666666666667,0.8833570412517782,"              precision    recall  f1-score   support

           0       0.89      0.84      0.86        38
           1       0.85      0.89      0.87        37

    accuracy                           0.87        75
   macro avg       0.87      0.87      0.87        75
weighted avg       0.87      0.87      0.87        75
"
Addictive disorder,df_dict_psd_fc_band,psd_fc_highbeta,0.9066666666666666,0.9260312944523471,"              precision    recall  f1-score   support

           0       0.88      0.95      0.91        38
           1       0.94      0.86      0.90        37

    accuracy                           0.91        75
   macro avg       0.91      0.91      0.91        75
weighted avg       0.91      0.91      0.91        75
"
Addictive disorder,df_dict_psd_fc_band,psd_fc_gamma,0.92,0.9267425320056899,"              precision    recall  f1-score   support

           0       0.94      0.89      0.92        38
           1       0.90      0.95      0.92        37

    accuracy                           0.92        75
   macro avg       0.92      0.92      0.92        75
weighted avg       0.92      0.92      0.92        75
"
Anxiety disorder,df_dict_psd_all_bands,psd_all_bands,0.8837209302325582,0.9415584415584416,"              precision    recall  f1-score   support

           0       0.87      0.91      0.89        22
           1       0.90      0.86      0.88        21

    accuracy                           0.88        43
   macro avg       0.88      0.88      0.88        43
weighted avg       0.88      0.88      0.88        43
"
Anxiety disorder,df_dict_fc_all_bands,fc_all_bands,0.7906976744186046,0.8614718614718615,"              precision    recall  f1-score   support

           0       0.84      0.73      0.78        22
           1       0.75      0.86      0.80        21

    accuracy                           0.79        43
   macro avg       0.80      0.79      0.79        43
weighted avg       0.80      0.79      0.79        43
"
Anxiety disorder,df_dict_psd_fc_all_bands,psd_fc_all_bands,0.7674418604651163,0.7662337662337662,"              precision    recall  f1-score   support

           0       0.71      0.91      0.80        22
           1       0.87      0.62      0.72        21

    accuracy                           0.77        43
   macro avg       0.79      0.76      0.76        43
weighted avg       0.79      0.77      0.76        43
"
Anxiety disorder,df_dict_psd_band,psd_delta,0.9069767441860465,0.9545454545454545,"              precision    recall  f1-score   support

           0       0.88      0.95      0.91        22
           1       0.95      0.86      0.90        21

    accuracy                           0.91        43
   macro avg       0.91      0.91      0.91        43
weighted avg       0.91      0.91      0.91        43
"
Anxiety disorder,df_dict_psd_band,psd_theta,0.8604651162790697,0.8809523809523809,"              precision    recall  f1-score   support

           0       0.83      0.91      0.87        22
           1       0.89      0.81      0.85        21

    accuracy                           0.86        43
   macro avg       0.86      0.86      0.86        43
weighted avg       0.86      0.86      0.86        43
"
Anxiety disorder,df_dict_psd_band,psd_alpha,0.813953488372093,0.8160173160173161,"              precision    recall  f1-score   support

           0       0.77      0.91      0.83        22
           1       0.88      0.71      0.79        21

    accuracy                           0.81        43
   macro avg       0.83      0.81      0.81        43
weighted avg       0.82      0.81      0.81        43
"
Anxiety disorder,df_dict_psd_band,psd_beta,0.9069767441860465,0.9069264069264069,"              precision    recall  f1-score   support

           0       0.88      0.95      0.91        22
           1       0.95      0.86      0.90        21

    accuracy                           0.91        43
   macro avg       0.91      0.91      0.91        43
weighted avg       0.91      0.91      0.91        43
"
Anxiety disorder,df_dict_psd_band,psd_highbeta,0.813953488372093,0.8658008658008658,"              precision    recall  f1-score   support

           0       0.73      1.00      0.85        22
           1       1.00      0.62      0.76        21

    accuracy                           0.81        43
   macro avg       0.87      0.81      0.81        43
weighted avg       0.86      0.81      0.81        43
"
Anxiety disorder,df_dict_psd_band,psd_gamma,0.8604651162790697,0.8831168831168831,"              precision    recall  f1-score   support

           0       0.81      0.95      0.88        22
           1       0.94      0.76      0.84        21

    accuracy                           0.86        43
   macro avg       0.87      0.86      0.86        43
weighted avg       0.87      0.86      0.86        43
"
Anxiety disorder,df_dict_fc_band,fc_delta,0.7209302325581395,0.7619047619047619,"              precision    recall  f1-score   support

           0       0.75      0.68      0.71        22
           1       0.70      0.76      0.73        21

    accuracy                           0.72        43
   macro avg       0.72      0.72      0.72        43
weighted avg       0.72      0.72      0.72        43
"
Anxiety disorder,df_dict_fc_band,fc_theta,0.813953488372093,0.8073593073593073,"              precision    recall  f1-score   support

           0       0.79      0.86      0.83        22
           1       0.84      0.76      0.80        21

    accuracy                           0.81        43
   macro avg       0.82      0.81      0.81        43
weighted avg       0.82      0.81      0.81        43
"
Anxiety disorder,df_dict_fc_band,fc_alpha,0.8604651162790697,0.9545454545454546,"              precision    recall  f1-score   support

           0       0.90      0.82      0.86        22
           1       0.83      0.90      0.86        21

    accuracy                           0.86        43
   macro avg       0.86      0.86      0.86        43
weighted avg       0.86      0.86      0.86        43
"
Anxiety disorder,df_dict_fc_band,fc_beta,0.7209302325581395,0.7532467532467533,"              precision    recall  f1-score   support

           0       0.81      0.59      0.68        22
           1       0.67      0.86      0.75        21

    accuracy                           0.72        43
   macro avg       0.74      0.72      0.72        43
weighted avg       0.74      0.72      0.72        43
"
Anxiety disorder,df_dict_fc_band,fc_highbeta,0.813953488372093,0.8614718614718615,"              precision    recall  f1-score   support

           0       0.82      0.82      0.82        22
           1       0.81      0.81      0.81        21

    accuracy                           0.81        43
   macro avg       0.81      0.81      0.81        43
weighted avg       0.81      0.81      0.81        43
"
Anxiety disorder,df_dict_fc_band,fc_gamma,0.7441860465116279,0.777056277056277,"              precision    recall  f1-score   support

           0       0.74      0.77      0.76        22
           1       0.75      0.71      0.73        21

    accuracy                           0.74        43
   macro avg       0.74      0.74      0.74        43
weighted avg       0.74      0.74      0.74        43
"
Anxiety disorder,df_dict_psd_fc_band,psd_fc_delta,0.9302325581395349,0.9285714285714285,"              precision    recall  f1-score   support

           0       0.91      0.95      0.93        22
           1       0.95      0.90      0.93        21

    accuracy                           0.93        43
   macro avg       0.93      0.93      0.93        43
weighted avg       0.93      0.93      0.93        43
"
Anxiety disorder,df_dict_psd_fc_band,psd_fc_theta,0.7906976744186046,0.8268398268398268,"              precision    recall  f1-score   support

           0       0.76      0.86      0.81        22
           1       0.83      0.71      0.77        21

    accuracy                           0.79        43
   macro avg       0.80      0.79      0.79        43
weighted avg       0.80      0.79      0.79        43
"
Anxiety disorder,df_dict_psd_fc_band,psd_fc_alpha,0.7674418604651163,0.7532467532467533,"              precision    recall  f1-score   support

           0       0.75      0.82      0.78        22
           1       0.79      0.71      0.75        21

    accuracy                           0.77        43
   macro avg       0.77      0.77      0.77        43
weighted avg       0.77      0.77      0.77        43
"
Anxiety disorder,df_dict_psd_fc_band,psd_fc_beta,0.813953488372093,0.8766233766233766,"              precision    recall  f1-score   support

           0       0.85      0.77      0.81        22
           1       0.78      0.86      0.82        21

    accuracy                           0.81        43
   macro avg       0.82      0.81      0.81        43
weighted avg       0.82      0.81      0.81        43
"
Anxiety disorder,df_dict_psd_fc_band,psd_fc_highbeta,0.813953488372093,0.8376623376623377,"              precision    recall  f1-score   support

           0       0.82      0.82      0.82        22
           1       0.81      0.81      0.81        21

    accuracy                           0.81        43
   macro avg       0.81      0.81      0.81        43
weighted avg       0.81      0.81      0.81        43
"
Anxiety disorder,df_dict_psd_fc_band,psd_fc_gamma,0.8372093023255814,0.8896103896103895,"              precision    recall  f1-score   support

           0       0.83      0.86      0.84        22
           1       0.85      0.81      0.83        21

    accuracy                           0.84        43
   macro avg       0.84      0.84      0.84        43
weighted avg       0.84      0.84      0.84        43
"
Mood disorder,df_dict_psd_all_bands,psd_all_bands,0.9158878504672897,0.9220824598183089,"              precision    recall  f1-score   support

           0       0.88      0.96      0.92        54
           1       0.96      0.87      0.91        53

    accuracy                           0.92       107
   macro avg       0.92      0.92      0.92       107
weighted avg       0.92      0.92      0.92       107
"
Mood disorder,df_dict_fc_all_bands,fc_all_bands,0.9439252336448598,0.9465408805031447,"              precision    recall  f1-score   support

           0       0.94      0.94      0.94        54
           1       0.94      0.94      0.94        53

    accuracy                           0.94       107
   macro avg       0.94      0.94      0.94       107
weighted avg       0.94      0.94      0.94       107
"
