Disorder,Dict,DataFrame,Accuracy,AUC,Classification Report
Addictive disorder,df_dict_psd_all_bands,psd_all_bands,0.92,0.9374110953058322,"              precision    recall  f1-score   support

           0       0.90      0.95      0.92        38
           1       0.94      0.89      0.92        37

    accuracy                           0.92        75
   macro avg       0.92      0.92      0.92        75
weighted avg       0.92      0.92      0.92        75
"
Addictive disorder,df_dict_fc_all_bands,fc_all_bands,0.8933333333333333,0.9231863442389758,"              precision    recall  f1-score   support

           0       0.92      0.87      0.89        38
           1       0.87      0.92      0.89        37

    accuracy                           0.89        75
   macro avg       0.89      0.89      0.89        75
weighted avg       0.89      0.89      0.89        75
"
Addictive disorder,df_dict_psd_fc_all_bands,psd_fc_all_bands,0.7866666666666666,0.8421052631578948,"              precision    recall  f1-score   support

           0       0.76      0.84      0.80        38
           1       0.82      0.73      0.77        37

    accuracy                           0.79        75
   macro avg       0.79      0.79      0.79        75
weighted avg       0.79      0.79      0.79        75
"
Addictive disorder,df_dict_psd_band,psd_delta,0.8933333333333333,0.8947368421052632,"              precision    recall  f1-score   support

           0       0.83      1.00      0.90        38
           1       1.00      0.78      0.88        37

    accuracy                           0.89        75
   macro avg       0.91      0.89      0.89        75
weighted avg       0.91      0.89      0.89        75
"
Addictive disorder,df_dict_psd_band,psd_theta,0.9466666666666667,0.9516358463726885,"              precision    recall  f1-score   support

           0       0.90      1.00      0.95        38
           1       1.00      0.89      0.94        37

    accuracy                           0.95        75
   macro avg       0.95      0.95      0.95        75
weighted avg       0.95      0.95      0.95        75
"
Addictive disorder,df_dict_psd_band,psd_alpha,0.9066666666666666,0.9174964438122334,"              precision    recall  f1-score   support

           0       0.84      1.00      0.92        38
           1       1.00      0.81      0.90        37

    accuracy                           0.91        75
   macro avg       0.92      0.91      0.91        75
weighted avg       0.92      0.91      0.91        75
"
Addictive disorder,df_dict_psd_band,psd_beta,0.8666666666666667,0.9231863442389758,"              precision    recall  f1-score   support

           0       0.89      0.84      0.86        38
           1       0.85      0.89      0.87        37

    accuracy                           0.87        75
   macro avg       0.87      0.87      0.87        75
weighted avg       0.87      0.87      0.87        75
"
Addictive disorder,df_dict_psd_band,psd_highbeta,0.8666666666666667,0.8862019914651494,"              precision    recall  f1-score   support

           0       0.83      0.92      0.88        38
           1       0.91      0.81      0.86        37

    accuracy                           0.87        75
   macro avg       0.87      0.87      0.87        75
weighted avg       0.87      0.87      0.87        75
"
Addictive disorder,df_dict_psd_band,psd_gamma,0.88,0.938122332859175,"              precision    recall  f1-score   support

           0       0.85      0.92      0.89        38
           1       0.91      0.84      0.87        37

    accuracy                           0.88        75
   macro avg       0.88      0.88      0.88        75
weighted avg       0.88      0.88      0.88        75
"
Addictive disorder,df_dict_fc_band,fc_delta,0.84,0.9068278805120911,"              precision    recall  f1-score   support

           0       0.91      0.76      0.83        38
           1       0.79      0.92      0.85        37

    accuracy                           0.84        75
   macro avg       0.85      0.84      0.84        75
weighted avg       0.85      0.84      0.84        75
"
Addictive disorder,df_dict_fc_band,fc_theta,0.8533333333333334,0.8883357041251778,"              precision    recall  f1-score   support

           0       0.83      0.89      0.86        38
           1       0.88      0.81      0.85        37

    accuracy                           0.85        75
   macro avg       0.86      0.85      0.85        75
weighted avg       0.86      0.85      0.85        75
"
Addictive disorder,df_dict_fc_band,fc_alpha,0.84,0.8577524893314367,"              precision    recall  f1-score   support

           0       0.86      0.82      0.84        38
           1       0.82      0.86      0.84        37

    accuracy                           0.84        75
   macro avg       0.84      0.84      0.84        75
weighted avg       0.84      0.84      0.84        75
"
Addictive disorder,df_dict_fc_band,fc_beta,0.8666666666666667,0.8755334281650071,"              precision    recall  f1-score   support

           0       0.89      0.84      0.86        38
           1       0.85      0.89      0.87        37

    accuracy                           0.87        75
   macro avg       0.87      0.87      0.87        75
weighted avg       0.87      0.87      0.87        75
"
Addictive disorder,df_dict_fc_band,fc_highbeta,0.9066666666666666,0.9210526315789475,"              precision    recall  f1-score   support

           0       0.86      0.97      0.91        38
           1       0.97      0.84      0.90        37

    accuracy                           0.91        75
   macro avg       0.91      0.91      0.91        75
weighted avg       0.91      0.91      0.91        75
"
Addictive disorder,df_dict_fc_band,fc_gamma,0.9066666666666666,0.930298719772404,"              precision    recall  f1-score   support

           0       0.90      0.92      0.91        38
           1       0.92      0.89      0.90        37

    accuracy                           0.91        75
   macro avg       0.91      0.91      0.91        75
weighted avg       0.91      0.91      0.91        75
"
Addictive disorder,df_dict_psd_fc_band,psd_fc_delta,0.84,0.9096728307254623,"              precision    recall  f1-score   support

           0       0.84      0.84      0.84        38
           1       0.84      0.84      0.84        37

    accuracy                           0.84        75
   macro avg       0.84      0.84      0.84        75
weighted avg       0.84      0.84      0.84        75
"
Addictive disorder,df_dict_psd_fc_band,psd_fc_theta,0.88,0.8869132290184921,"              precision    recall  f1-score   support

           0       0.91      0.84      0.88        38
           1       0.85      0.92      0.88        37

    accuracy                           0.88        75
   macro avg       0.88      0.88      0.88        75
weighted avg       0.88      0.88      0.88        75
"
Addictive disorder,df_dict_psd_fc_band,psd_fc_alpha,0.8533333333333334,0.8805120910384069,"              precision    recall  f1-score   support

           0       0.86      0.84      0.85        38
           1       0.84      0.86      0.85        37

    accuracy                           0.85        75
   macro avg       0.85      0.85      0.85        75
weighted avg       0.85      0.85      0.85        75
"
Addictive disorder,df_dict_psd_fc_band,psd_fc_beta,0.96,0.9544807965860598,"              precision    recall  f1-score   support

           0       0.97      0.95      0.96        38
           1       0.95      0.97      0.96        37

    accuracy                           0.96        75
   macro avg       0.96      0.96      0.96        75
weighted avg       0.96      0.96      0.96        75
"
Addictive disorder,df_dict_psd_fc_band,psd_fc_highbeta,0.8933333333333333,0.89900426742532,"              precision    recall  f1-score   support

           0       0.86      0.95      0.90        38
           1       0.94      0.84      0.89        37

    accuracy                           0.89        75
   macro avg       0.90      0.89      0.89        75
weighted avg       0.90      0.89      0.89        75
"
Addictive disorder,df_dict_psd_fc_band,psd_fc_gamma,0.8933333333333333,0.9068278805120911,"              precision    recall  f1-score   support

           0       0.89      0.89      0.89        38
           1       0.89      0.89      0.89        37

    accuracy                           0.89        75
   macro avg       0.89      0.89      0.89        75
weighted avg       0.89      0.89      0.89        75
"
Anxiety disorder,df_dict_psd_all_bands,psd_all_bands,0.8604651162790697,0.8831168831168832,"              precision    recall  f1-score   support

           0       0.83      0.91      0.87        22
           1       0.89      0.81      0.85        21

    accuracy                           0.86        43
   macro avg       0.86      0.86      0.86        43
weighted avg       0.86      0.86      0.86        43
"
Anxiety disorder,df_dict_fc_all_bands,fc_all_bands,0.7441860465116279,0.7857142857142857,"              precision    recall  f1-score   support

           0       0.79      0.68      0.73        22
           1       0.71      0.81      0.76        21

    accuracy                           0.74        43
   macro avg       0.75      0.75      0.74        43
weighted avg       0.75      0.74      0.74        43
"
Anxiety disorder,df_dict_psd_fc_all_bands,psd_fc_all_bands,0.7674418604651163,0.8225108225108225,"              precision    recall  f1-score   support

           0       0.75      0.82      0.78        22
           1       0.79      0.71      0.75        21

    accuracy                           0.77        43
   macro avg       0.77      0.77      0.77        43
weighted avg       0.77      0.77      0.77        43
"
Anxiety disorder,df_dict_psd_band,psd_delta,0.9069767441860465,0.8917748917748918,"              precision    recall  f1-score   support

           0       0.85      1.00      0.92        22
           1       1.00      0.81      0.89        21

    accuracy                           0.91        43
   macro avg       0.92      0.90      0.91        43
weighted avg       0.92      0.91      0.91        43
"
Anxiety disorder,df_dict_psd_band,psd_theta,0.8372093023255814,0.8614718614718614,"              precision    recall  f1-score   support

           0       0.78      0.95      0.86        22
           1       0.94      0.71      0.81        21

    accuracy                           0.84        43
   macro avg       0.86      0.83      0.83        43
weighted avg       0.86      0.84      0.83        43
"
Anxiety disorder,df_dict_psd_band,psd_alpha,0.813953488372093,0.8549783549783548,"              precision    recall  f1-score   support

           0       0.82      0.82      0.82        22
           1       0.81      0.81      0.81        21

    accuracy                           0.81        43
   macro avg       0.81      0.81      0.81        43
weighted avg       0.81      0.81      0.81        43
"
Anxiety disorder,df_dict_psd_band,psd_beta,0.8372093023255814,0.8701298701298701,"              precision    recall  f1-score   support

           0       0.78      0.95      0.86        22
           1       0.94      0.71      0.81        21

    accuracy                           0.84        43
   macro avg       0.86      0.83      0.83        43
weighted avg       0.86      0.84      0.83        43
"
Anxiety disorder,df_dict_psd_band,psd_highbeta,0.8837209302325582,0.9264069264069263,"              precision    recall  f1-score   support

           0       0.84      0.95      0.89        22
           1       0.94      0.81      0.87        21

    accuracy                           0.88        43
   macro avg       0.89      0.88      0.88        43
weighted avg       0.89      0.88      0.88        43
"
Anxiety disorder,df_dict_psd_band,psd_gamma,0.8604651162790697,0.8744588744588744,"              precision    recall  f1-score   support

           0       0.86      0.86      0.86        22
           1       0.86      0.86      0.86        21

    accuracy                           0.86        43
   macro avg       0.86      0.86      0.86        43
weighted avg       0.86      0.86      0.86        43
"
Anxiety disorder,df_dict_fc_band,fc_delta,0.7906976744186046,0.8809523809523809,"              precision    recall  f1-score   support

           0       0.76      0.86      0.81        22
           1       0.83      0.71      0.77        21

    accuracy                           0.79        43
   macro avg       0.80      0.79      0.79        43
weighted avg       0.80      0.79      0.79        43
"
Anxiety disorder,df_dict_fc_band,fc_theta,0.813953488372093,0.7792207792207791,"              precision    recall  f1-score   support

           0       0.82      0.82      0.82        22
           1       0.81      0.81      0.81        21

    accuracy                           0.81        43
   macro avg       0.81      0.81      0.81        43
weighted avg       0.81      0.81      0.81        43
"
Anxiety disorder,df_dict_fc_band,fc_alpha,0.8837209302325582,0.8961038961038961,"              precision    recall  f1-score   support

           0       0.87      0.91      0.89        22
           1       0.90      0.86      0.88        21

    accuracy                           0.88        43
   macro avg       0.88      0.88      0.88        43
weighted avg       0.88      0.88      0.88        43
"
Anxiety disorder,df_dict_fc_band,fc_beta,0.6511627906976745,0.5995670995670996,"              precision    recall  f1-score   support

           0       0.63      0.77      0.69        22
           1       0.69      0.52      0.59        21

    accuracy                           0.65        43
   macro avg       0.66      0.65      0.64        43
weighted avg       0.66      0.65      0.65        43
"
Anxiety disorder,df_dict_fc_band,fc_highbeta,0.8604651162790697,0.922077922077922,"              precision    recall  f1-score   support

           0       0.83      0.91      0.87        22
           1       0.89      0.81      0.85        21

    accuracy                           0.86        43
   macro avg       0.86      0.86      0.86        43
weighted avg       0.86      0.86      0.86        43
"
Anxiety disorder,df_dict_fc_band,fc_gamma,0.7441860465116279,0.7532467532467533,"              precision    recall  f1-score   support

           0       0.72      0.82      0.77        22
           1       0.78      0.67      0.72        21

    accuracy                           0.74        43
   macro avg       0.75      0.74      0.74        43
weighted avg       0.75      0.74      0.74        43
"
Anxiety disorder,df_dict_psd_fc_band,psd_fc_delta,0.8372093023255814,0.8701298701298701,"              precision    recall  f1-score   support

           0       0.83      0.86      0.84        22
           1       0.85      0.81      0.83        21

    accuracy                           0.84        43
   macro avg       0.84      0.84      0.84        43
weighted avg       0.84      0.84      0.84        43
"
Anxiety disorder,df_dict_psd_fc_band,psd_fc_theta,0.7906976744186046,0.8506493506493507,"              precision    recall  f1-score   support

           0       0.76      0.86      0.81        22
           1       0.83      0.71      0.77        21

    accuracy                           0.79        43
   macro avg       0.80      0.79      0.79        43
weighted avg       0.80      0.79      0.79        43
"
Anxiety disorder,df_dict_psd_fc_band,psd_fc_alpha,0.7674418604651163,0.7532467532467533,"              precision    recall  f1-score   support

           0       0.75      0.82      0.78        22
           1       0.79      0.71      0.75        21

    accuracy                           0.77        43
   macro avg       0.77      0.77      0.77        43
weighted avg       0.77      0.77      0.77        43
"
