Disorder,Dict,DataFrame,Accuracy,AUC,Classification Report
Acute stress disorder,df_dict_psd_all_bands,psd_all_bands,0.8947368421052632,0.9944598337950139,"{'0': {'precision': 1.0, 'recall': 0.7894736842105263, 'f1-score': 0.8823529411764706, 'support': 19}, '1': {'precision': 0.8260869565217391, 'recall': 1.0, 'f1-score': 0.9047619047619047, 'support': 19}, 'accuracy': 0.8947368421052632, 'macro avg': {'precision': 0.9130434782608696, 'recall': 0.8947368421052632, 'f1-score': 0.8935574229691876, 'support': 38}, 'weighted avg': {'precision': 0.9130434782608696, 'recall': 0.8947368421052632, 'f1-score': 0.8935574229691877, 'support': 38}}"
Acute stress disorder,df_dict_fc_all_bands,fc_all_bands,0.868421052631579,0.9806094182825484,"{'0': {'precision': 0.9375, 'recall': 0.7894736842105263, 'f1-score': 0.8571428571428572, 'support': 19}, '1': {'precision': 0.8181818181818182, 'recall': 0.9473684210526315, 'f1-score': 0.8780487804878049, 'support': 19}, 'accuracy': 0.868421052631579, 'macro avg': {'precision': 0.8778409090909092, 'recall': 0.868421052631579, 'f1-score': 0.867595818815331, 'support': 38}, 'weighted avg': {'precision': 0.8778409090909092, 'recall': 0.868421052631579, 'f1-score': 0.8675958188153311, 'support': 38}}"
Acute stress disorder,df_dict_psd_fc_all_bands,psd_fc_all_bands,0.8421052631578947,0.9390581717451524,"{'0': {'precision': 1.0, 'recall': 0.6842105263157895, 'f1-score': 0.8125000000000001, 'support': 19}, '1': {'precision': 0.76, 'recall': 1.0, 'f1-score': 0.8636363636363636, 'support': 19}, 'accuracy': 0.8421052631578947, 'macro avg': {'precision': 0.88, 'recall': 0.8421052631578947, 'f1-score': 0.8380681818181819, 'support': 38}, 'weighted avg': {'precision': 0.8799999999999999, 'recall': 0.8421052631578947, 'f1-score': 0.838068181818182, 'support': 38}}"
Acute stress disorder,df_dict_psd_band,psd_delta,0.9210526315789473,0.9556786703601108,"{'0': {'precision': 0.9444444444444444, 'recall': 0.8947368421052632, 'f1-score': 0.918918918918919, 'support': 19}, '1': {'precision': 0.9, 'recall': 0.9473684210526315, 'f1-score': 0.9230769230769231, 'support': 19}, 'accuracy': 0.9210526315789473, 'macro avg': {'precision': 0.9222222222222223, 'recall': 0.9210526315789473, 'f1-score': 0.9209979209979211, 'support': 38}, 'weighted avg': {'precision': 0.9222222222222222, 'recall': 0.9210526315789473, 'f1-score': 0.920997920997921, 'support': 38}}"
Acute stress disorder,df_dict_psd_band,psd_theta,0.8421052631578947,0.9058171745152355,"{'0': {'precision': 0.8095238095238095, 'recall': 0.8947368421052632, 'f1-score': 0.8500000000000001, 'support': 19}, '1': {'precision': 0.8823529411764706, 'recall': 0.7894736842105263, 'f1-score': 0.8333333333333333, 'support': 19}, 'accuracy': 0.8421052631578947, 'macro avg': {'precision': 0.84593837535014, 'recall': 0.8421052631578947, 'f1-score': 0.8416666666666667, 'support': 38}, 'weighted avg': {'precision': 0.84593837535014, 'recall': 0.8421052631578947, 'f1-score': 0.8416666666666667, 'support': 38}}"
Acute stress disorder,df_dict_psd_band,psd_alpha,0.8421052631578947,0.8670360110803323,"{'0': {'precision': 0.782608695652174, 'recall': 0.9473684210526315, 'f1-score': 0.8571428571428571, 'support': 19}, '1': {'precision': 0.9333333333333333, 'recall': 0.7368421052631579, 'f1-score': 0.8235294117647058, 'support': 19}, 'accuracy': 0.8421052631578947, 'macro avg': {'precision': 0.8579710144927537, 'recall': 0.8421052631578947, 'f1-score': 0.8403361344537814, 'support': 38}, 'weighted avg': {'precision': 0.8579710144927537, 'recall': 0.8421052631578947, 'f1-score': 0.8403361344537815, 'support': 38}}"
Acute stress disorder,df_dict_psd_band,psd_beta,0.8421052631578947,0.9002770083102494,"{'0': {'precision': 0.8823529411764706, 'recall': 0.7894736842105263, 'f1-score': 0.8333333333333333, 'support': 19}, '1': {'precision': 0.8095238095238095, 'recall': 0.8947368421052632, 'f1-score': 0.8500000000000001, 'support': 19}, 'accuracy': 0.8421052631578947, 'macro avg': {'precision': 0.84593837535014, 'recall': 0.8421052631578947, 'f1-score': 0.8416666666666667, 'support': 38}, 'weighted avg': {'precision': 0.84593837535014, 'recall': 0.8421052631578947, 'f1-score': 0.8416666666666667, 'support': 38}}"
Acute stress disorder,df_dict_psd_band,psd_highbeta,0.8947368421052632,0.9418282548476455,"{'0': {'precision': 0.8571428571428571, 'recall': 0.9473684210526315, 'f1-score': 0.9, 'support': 19}, '1': {'precision': 0.9411764705882353, 'recall': 0.8421052631578947, 'f1-score': 0.8888888888888888, 'support': 19}, 'accuracy': 0.8947368421052632, 'macro avg': {'precision': 0.8991596638655461, 'recall': 0.894736842105263, 'f1-score': 0.8944444444444444, 'support': 38}, 'weighted avg': {'precision': 0.8991596638655462, 'recall': 0.8947368421052632, 'f1-score': 0.8944444444444446, 'support': 38}}"
Acute stress disorder,df_dict_psd_band,psd_gamma,0.8947368421052632,0.9556786703601108,"{'0': {'precision': 0.8947368421052632, 'recall': 0.8947368421052632, 'f1-score': 0.8947368421052632, 'support': 19}, '1': {'precision': 0.8947368421052632, 'recall': 0.8947368421052632, 'f1-score': 0.8947368421052632, 'support': 19}, 'accuracy': 0.8947368421052632, 'macro avg': {'precision': 0.8947368421052632, 'recall': 0.8947368421052632, 'f1-score': 0.8947368421052632, 'support': 38}, 'weighted avg': {'precision': 0.8947368421052632, 'recall': 0.8947368421052632, 'f1-score': 0.8947368421052632, 'support': 38}}"
Acute stress disorder,df_dict_fc_band,fc_delta,0.8421052631578947,0.9058171745152355,"{'0': {'precision': 0.9333333333333333, 'recall': 0.7368421052631579, 'f1-score': 0.8235294117647058, 'support': 19}, '1': {'precision': 0.782608695652174, 'recall': 0.9473684210526315, 'f1-score': 0.8571428571428571, 'support': 19}, 'accuracy': 0.8421052631578947, 'macro avg': {'precision': 0.8579710144927537, 'recall': 0.8421052631578947, 'f1-score': 0.8403361344537814, 'support': 38}, 'weighted avg': {'precision': 0.8579710144927537, 'recall': 0.8421052631578947, 'f1-score': 0.8403361344537815, 'support': 38}}"
