Disorder,Dict,DataFrame,Accuracy,AUC,Classification Report
Acute stress disorder,df_dict_psd_all_bands,psd_all_bands,0.9210526315789473,0.9750692520775623,"              precision    recall  f1-score   support

           0       0.90      0.95      0.92        19
           1       0.94      0.89      0.92        19

    accuracy                           0.92        38
   macro avg       0.92      0.92      0.92        38
weighted avg       0.92      0.92      0.92        38
"
Acute stress disorder,df_dict_fc_all_bands,fc_all_bands,0.868421052631579,0.9473684210526316,"              precision    recall  f1-score   support

           0       1.00      0.74      0.85        19
           1       0.79      1.00      0.88        19

    accuracy                           0.87        38
   macro avg       0.90      0.87      0.87        38
weighted avg       0.90      0.87      0.87        38
"
Acute stress disorder,df_dict_psd_fc_all_bands,psd_fc_all_bands,0.8421052631578947,0.8448753462603878,"              precision    recall  f1-score   support

           0       0.93      0.74      0.82        19
           1       0.78      0.95      0.86        19

    accuracy                           0.84        38
   macro avg       0.86      0.84      0.84        38
weighted avg       0.86      0.84      0.84        38
"
Acute stress disorder,df_dict_psd_band,psd_delta,0.9210526315789473,0.9722991689750693,"              precision    recall  f1-score   support

           0       0.86      1.00      0.93        19
           1       1.00      0.84      0.91        19

    accuracy                           0.92        38
   macro avg       0.93      0.92      0.92        38
weighted avg       0.93      0.92      0.92        38
"
Acute stress disorder,df_dict_psd_band,psd_theta,0.8947368421052632,0.9196675900277008,"              precision    recall  f1-score   support

           0       0.94      0.84      0.89        19
           1       0.86      0.95      0.90        19

    accuracy                           0.89        38
   macro avg       0.90      0.89      0.89        38
weighted avg       0.90      0.89      0.89        38
"
Acute stress disorder,df_dict_psd_band,psd_alpha,0.7894736842105263,0.8448753462603877,"              precision    recall  f1-score   support

           0       0.87      0.68      0.76        19
           1       0.74      0.89      0.81        19

    accuracy                           0.79        38
   macro avg       0.80      0.79      0.79        38
weighted avg       0.80      0.79      0.79        38
"
Acute stress disorder,df_dict_psd_band,psd_beta,0.8421052631578947,0.9141274238227146,"              precision    recall  f1-score   support

           0       0.88      0.79      0.83        19
           1       0.81      0.89      0.85        19

    accuracy                           0.84        38
   macro avg       0.85      0.84      0.84        38
weighted avg       0.85      0.84      0.84        38
"
Acute stress disorder,df_dict_psd_band,psd_highbeta,0.8947368421052632,0.8448753462603878,"              precision    recall  f1-score   support

           0       1.00      0.79      0.88        19
           1       0.83      1.00      0.90        19

    accuracy                           0.89        38
   macro avg       0.91      0.89      0.89        38
weighted avg       0.91      0.89      0.89        38
"
Acute stress disorder,df_dict_psd_band,psd_gamma,0.8947368421052632,0.9501385041551247,"              precision    recall  f1-score   support

           0       0.89      0.89      0.89        19
           1       0.89      0.89      0.89        19

    accuracy                           0.89        38
   macro avg       0.89      0.89      0.89        38
weighted avg       0.89      0.89      0.89        38
"
Acute stress disorder,df_dict_fc_band,fc_delta,0.868421052631579,0.85595567867036,"              precision    recall  f1-score   support

           0       0.89      0.84      0.86        19
           1       0.85      0.89      0.87        19

    accuracy                           0.87        38
   macro avg       0.87      0.87      0.87        38
weighted avg       0.87      0.87      0.87        38
"
Acute stress disorder,df_dict_fc_band,fc_theta,0.8947368421052632,0.9141274238227146,"              precision    recall  f1-score   support

           0       0.94      0.84      0.89        19
           1       0.86      0.95      0.90        19

    accuracy                           0.89        38
   macro avg       0.90      0.89      0.89        38
weighted avg       0.90      0.89      0.89        38
"
Acute stress disorder,df_dict_fc_band,fc_alpha,0.8947368421052632,0.9390581717451525,"              precision    recall  f1-score   support

           0       0.94      0.84      0.89        19
           1       0.86      0.95      0.90        19

    accuracy                           0.89        38
   macro avg       0.90      0.89      0.89        38
weighted avg       0.90      0.89      0.89        38
"
